variable	value	result	frequency	percent
PM564Q02	1	No credit	23478	4.84
PM564Q02	2	No credit	28151	5.8
PM564Q02	3	Full credit	59564	12.27
PM564Q02	4	No credit	20234	4.17
PM564Q02	5	No credit	5217	1.07
PM564Q02	7	N/A	339086	69.84
PM564Q02	8	Invalid	272	0.06
PM564Q02	9	Missing	4197	0.86
PM564Q02	r	Not reached	5291	1.09
PM571Q01	1	No credit	12795	2.64
PM571Q01	2	No credit	34734	7.15
PM571Q01	3	No credit	24679	5.08
PM571Q01	4	Full credit	59040	12.16
PM571Q01	7	N/A	339078	69.84
PM571Q01	8	Invalid	1553	0.32
PM571Q01	9	Missing	9701	2
PM571Q01	r	Not reached	3910	0.81
PM603Q01T	0	No credit	4448	0.92
PM603Q01T	1	No credit	39782	8.19
PM603Q01T	2	No credit	37682	7.76
PM603Q01T	3	Full credit	57243	11.79
PM603Q01T	7	N/A	339050	69.84
PM603Q01T	8	Invalid	33	0.01
PM603Q01T	9	Missing	4340	0.89
PM603Q01T	r	Not reached	2912	0.60
PM800Q01	1	No credit	1633	0.34
PM800Q01	2	No credit	12440	2.56
PM800Q01	3	Full credit	126589	26.07
PM800Q01	4	No credit	2603	0.54
PM800Q01	7	N/A	335356	69.08
PM800Q01	8	Invalid	205	0.04
PM800Q01	9	Missing	1646	0.34
PM800Q01	r	Not reached	5018	1.03
PM803Q01T	0	No credit	80784	16.64
PM803Q01T	1	Full credit	31548	6.5
PM803Q01T	7	N/A	339391	69.91
PM803Q01T	8	Invalid	17430	3.59
PM803Q01T	9	Missing	12780	2.63
PM803Q01T	r	Not reached	3557	0.73
PM828Q01	0	No credit	64550	13.3
PM828Q01	1	Full credit	36201	7.46
PM828Q01	7	N/A	338080	69.64
PM828Q01	9	Missing	43075	8.87
PM828Q01	r	Not reached	3584	0.74
PM828Q02	0	No credit	43122	8.88
PM828Q02	1	Full credit	73038	15.04
PM828Q02	7	N/A	336562	69.32
PM828Q02	9	Missing	28547	5.88
PM828Q02	r	Not reached	4221	0.87
PM828Q03	0	No credit	70354	14.49
PM828Q03	1	Full credit	36984	7.62
PM828Q03	7	N/A	336560	69.32
PM828Q03	9	Missing	37131	7.65
PM828Q03	r	Not reached	4461	0.92
PM903Q01	0	No credit	46413	9.56
PM903Q01	1	Partial credit	13638	2.81
PM903Q01	2	Full credit	17976	3.7
PM903Q01	7	N/A	376928	77.64
PM903Q01	9	Missing	28880	5.95
PM903Q01	r	Not reached	1655	0.34
PM903Q03	0	No credit	50426	10.39
PM903Q03	1	Full credit	29634	6.1
PM903Q03	7	N/A	376931	77.64
PM903Q03	9	Missing	26673	5.49
PM903Q03	r	Not reached	1826	0.38
PM905Q01T	0	No credit	4907	1.01
PM905Q01T	1	No credit	16166	3.33
PM905Q01T	2	Full credit	81510	16.79
PM905Q01T	7	N/A	377104	77.67
PM905Q01T	8	Invalid	39	0.01
PM905Q01T	9	Missing	5064	1.04
PM905Q01T	r	Not reached	700	0.14
PM905Q02	0	No credit	40489	8.34
PM905Q02	1	Full credit	52519	10.82
PM905Q02	7	N/A	377103	77.67
PM905Q02	9	Missing	14447	2.98
PM905Q02	r	Not reached	932	0.19
PM906Q01	1	No credit	9448	1.95
PM906Q01	2	Full credit	78023	16.07
PM906Q01	3	No credit	26376	5.43
PM906Q01	4	No credit	8268	1.7
PM906Q01	5	No credit	15320	3.16
PM906Q01	7	N/A	338753	69.78
PM906Q01	8	Invalid	255	0.05
PM906Q01	9	Missing	4778	0.98
PM906Q01	r	Not reached	4269	0.88
PM906Q02	0	No credit	47756	9.84
PM906Q02	1	Partial credit	15748	3.24
PM906Q02	2	Full credit	43915	9.05
PM906Q02	7	N/A	338777	69.78
PM906Q02	9	Missing	34334	7.07
PM906Q02	r	Not reached	4960	1.02
PM909Q01	0	No credit	16765	3.45
PM909Q01	1	Full credit	123767	25.49
PM909Q01	7	N/A	337594	69.54
PM909Q01	9	Missing	5598	1.15
PM909Q01	r	Not reached	1766	0.36
PM909Q02	1	Full credit	81998	16.89
PM909Q02	2	No credit	18373	3.78
PM909Q02	3	No credit	20782	4.28
PM909Q02	4	No credit	20106	4.14
PM909Q02	7	N/A	335431	69.09
PM909Q02	8	Invalid	322	0.07
PM909Q02	9	Missing	6256	1.29
PM909Q02	r	Not reached	2222	0.46
PM909Q03	0	No credit	79845	16.45
PM909Q03	1	Full credit	42698	8.79
PM909Q03	7	N/A	335428	69.09
PM909Q03	9	Missing	25100	5.17
PM909Q03	r	Not reached	2419	0.5
PM915Q01	1	No credit	47832	9.85
PM915Q01	2	Full credit	49896	10.28
PM915Q01	3	No credit	33097	6.82
PM915Q01	4	No credit	6528	1.34
PM915Q01	7	N/A	337641	69.55
PM915Q01	8	Invalid	243	0.05
PM915Q01	9	Missing	6666	1.37
PM915Q01	r	Not reached	3587	0.74
PM915Q02	0	No credit	41280	8.5
PM915Q02	1	Full credit	91335	18.81
PM915Q02	7	N/A	337640	69.55
PM915Q02	9	Missing	11396	2.35
PM915Q02	r	Not reached	3839	0.79
PM918Q01	1	No credit	2437	0.5
PM918Q01	2	Full credit	93304	19.22
PM918Q01	3	No credit	2036	0.42
PM918Q01	4	No credit	8461	1.74
PM918Q01	7	N/A	377112	77.68
PM918Q01	8	Invalid	121	0.02
PM918Q01	9	Missing	1315	0.27
PM918Q01	r	Not reached	704	0.15
PM918Q02	1	No credit	6952	1.43
PM918Q02	2	No credit	5060	1.04
PM918Q02	3	Full credit	82129	16.92
PM918Q02	4	No credit	11131	2.29
PM918Q02	7	N/A	377107	77.68
PM918Q02	8	Invalid	1573	0.32
PM918Q02	9	Missing	766	0.16
PM918Q02	r	Not reached	772	0.16
PM918Q05	1	No credit	4915	1.01
PM918Q05	2	Full credit	80252	16.53
PM918Q05	3	No credit	16629	3.43
PM918Q05	4	No credit	4378	0.9
PM918Q05	7	N/A	377108	77.68
PM918Q05	8	Invalid	147	0.03
PM918Q05	9	Missing	1255	0.26
PM918Q05	r	Not reached	806	0.17
PM919Q01	0	No credit	16273	3.35
PM919Q01	1	Full credit	87555	18.03
PM919Q01	7	N/A	377103	77.67
PM919Q01	9	Missing	3460	0.71
PM919Q01	r	Not reached	1099	0.23
PM919Q02	0	No credit	56793	11.7
PM919Q02	1	Full credit	45185	9.31
PM919Q02	7	N/A	377104	77.67
PM919Q02	9	Missing	5155	1.06
PM919Q02	r	Not reached	1253	0.26
PM923Q01	1	No credit	16152	3.33
PM923Q01	2	No credit	7896	1.63
PM923Q01	3	No credit	9145	1.88
PM923Q01	4	Full credit	59603	12.28
PM923Q01	5	No credit	11279	2.32
PM923Q01	7	N/A	376911	77.64
PM923Q01	8	Invalid	188	0.04
PM923Q01	9	Missing	3412	0.7
PM923Q01	r	Not reached	904	0.19
PM923Q03	1	No credit	17548	3.61
PM923Q03	2	Full credit	53370	10.99
PM923Q03	3	No credit	17402	3.58
PM923Q03	4	No credit	14702	3.03
PM923Q03	7	N/A	376914	77.64
PM923Q03	8	Invalid	176	0.04
PM923Q03	9	Missing	4233	0.87
PM923Q03	r	Not reached	1145	0.24
PM923Q04	0	No credit	54980	11.32
PM923Q04	1	Full credit	16571	3.41
PM923Q04	7	N/A	376915	77.64
PM923Q04	9	Missing	35800	7.37
PM923Q04	r	Not reached	1224	0.25
PM924Q02	0	No credit	38065	7.84
PM924Q02	1	Full credit	63448	13.07
PM924Q02	7	N/A	376945	77.64
PM924Q02	9	Missing	3460	0.71
PM924Q02	r	Not reached	3572	0.74
PM934Q01	0	No credit	28986	5.97
PM934Q01	1	Full credit	7588	1.56
PM934Q01	7	N/A	442310	91.11
PM934Q01	9	Missing	3535	0.73
PM934Q01	r	Not reached	3071	0.63
PM934Q02	1	No credit	5039	1.04
PM934Q02	2	No credit	7191	1.48
PM934Q02	3	Full credit	17631	3.63
PM934Q02	4	No credit	8758	1.8
PM934Q02	7	N/A	442310	91.11
PM934Q02	8	Invalid	114	0.02
PM934Q02	9	Missing	1040	0.21
PM934Q02	r	Not reached	3407	0.7
PM936Q01	0	No credit	20312	4.18
PM936Q01	1	Full credit	15506	3.19
PM936Q01	7	N/A	442296	91.1
PM936Q01	9	Missing	5736	1.18
PM936Q01	r	Not reached	1640	0.34
PM936Q02	0	No credit	17937	3.69
PM936Q02	1	Full credit	14279	2.94
PM936Q02	7	N/A	442314	91.11
PM936Q02	9	Missing	8904	1.83
PM936Q02	r	Not reached	2056	0.42
PM939Q01	1	No credit	6448	1.33
PM939Q01	2	Full credit	18591	3.83
PM939Q01	3	No credit	7921	1.63
PM939Q01	4	No credit	5804	1.2
PM939Q01	7	N/A	442297	91.1
PM939Q01	8	Invalid	263	0.05
PM939Q01	9	Missing	1253	0.26
PM939Q01	r	Not reached	2913	0.6
PM939Q02	1	Full credit	14111	2.91
PM939Q02	2	No credit	20968	4.32
PM939Q02	3	No credit	1195	0.25
PM939Q02	4	No credit	2787	0.57
PM939Q02	7	N/A	442297	91.1
PM939Q02	8	Invalid	62	0.01
PM939Q02	9	Missing	903	0.19
PM939Q02	r	Not reached	3167	0.65
PM942Q01	1	No credit	5383	1.11
PM942Q01	2	No credit	3931	0.81
PM942Q01	3	Full credit	19638	4.04
PM942Q01	4	No credit	2755	0.57
PM942Q01	5	No credit	8235	1.7
PM942Q01	7	N/A	442304	91.1
PM942Q01	8	Invalid	82	0.02
PM942Q01	9	Missing	1420	0.29
PM942Q01	r	Not reached	1742	0.36
PM942Q02	0	No credit	25167	5.18
PM942Q02	1	Full credit	5266	1.08
PM942Q02	7	N/A	442307	91.11
PM942Q02	9	Missing	10838	2.23
PM942Q02	r	Not reached	1912	0.39
PM942Q03	0	No credit	24893	5.13
PM942Q03	1	Partial credit	1720	0.35
PM942Q03	2	Full credit	4197	0.86
PM942Q03	7	N/A	442310	91.11
PM942Q03	9	Missing	10104	2.08
PM942Q03	r	Not reached	2266	0.47
PM943Q01	1	No credit	16101	3.32
PM943Q01	2	No credit	16459	3.39
PM943Q01	3	Full credit	53170	10.95
PM943Q01	4	No credit	10087	2.08
PM943Q01	7	N/A	377130	77.68
PM943Q01	8	Invalid	1099	0.23
PM943Q01	9	Missing	9149	1.88
PM943Q01	r	Not reached	2295	0.47
PM943Q02	0	No credit	68543	14.12
PM943Q02	1	Full credit	7244	1.49
PM943Q02	7	N/A	377121	77.68
PM943Q02	9	Missing	30030	6.19
PM943Q02	r	Not reached	2552	0.53
PM948Q01	1	No credit	1782	0.37
PM948Q01	2	Full credit	33330	6.87
PM948Q01	3	No credit	1734	0.36
PM948Q01	4	No credit	4275	0.88
PM948Q01	7	N/A	442293	91.1
PM948Q01	8	Invalid	138	0.03
PM948Q01	9	Missing	863	0.18
PM948Q01	r	Not reached	1075	0.22
PM948Q02	0	No credit	13267	2.73
PM948Q02	1	Full credit	25745	5.3
PM948Q02	7	N/A	442297	91.1
PM948Q02	9	Missing	2914	0.6
PM948Q02	r	Not reached	1267	0.26
PM948Q03	0	No credit	34804	7.17
PM948Q03	1	Full credit	3705	0.76
PM948Q03	7	N/A	442297	91.1
PM948Q03	9	Missing	3205	0.66
PM948Q03	r	Not reached	1479	0.3
PM949Q01T	0	No credit	3217	0.66
PM949Q01T	1	No credit	15704	3.23
PM949Q01T	2	No credit	34971	7.2
PM949Q01T	3	Full credit	90405	18.62
PM949Q01T	7	N/A	335430	69.09
PM949Q01T	8	Invalid	42	0.01
PM949Q01T	9	Missing	2961	0.61
PM949Q01T	r	Not reached	2760	0.57
PM949Q02T	0	No credit	2922	0.6
PM949Q02T	1	No credit	49516	10.2
PM949Q02T	2	No credit	48134	9.91
PM949Q02T	3	Full credit	43607	8.98
PM949Q02T	7	N/A	335435	69.09
PM949Q02T	8	Invalid	45	0.01
PM949Q02T	9	Missing	2799	0.58
PM949Q02T	r	Not reached	3032	0.62
PM949Q03	0	No credit	55039	11.34
PM949Q03	1	Partial credit	4136	0.85
PM949Q03	2	Full credit	41465	8.54
PM949Q03	7	N/A	335884	69.18
PM949Q03	9	Missing	45804	9.43
PM949Q03	r	Not reached	3162	0.65
PM953Q02	0	No credit	42515	8.76
PM953Q02	1	Full credit	50675	10.44
PM953Q02	7	N/A	377139	77.68
PM953Q02	9	Missing	10584	2.18
PM953Q02	r	Not reached	4577	0.94
PM953Q03	0	No credit	41183	8.48
PM953Q03	1	Full credit	51509	10.61
PM953Q03	7	N/A	377147	77.68
PM953Q03	9	Missing	10190	2.1
PM953Q03	r	Not reached	5461	1.12
PM953Q04D	7	N/A	377144	77.68
PM953Q04D	9	Missing	29781	6.13
PM953Q04D	A	No credit	49439	10.18
PM953Q04D	G	Partial credit	2824	0.58
PM953Q04D	H	Partial credit	5679	1.17
PM953Q04D	O	Full credit	13787	2.84
PM953Q04D	r	Not reached	6836	1.41
PM954Q01	0	No credit	28357	5.84
PM954Q01	1	Full credit	70134	14.45
PM954Q01	7	N/A	377109	77.68
PM954Q01	9	Missing	8450	1.74
PM954Q01	r	Not reached	1440	0.3
PM954Q02	0	No credit	54131	11.15
PM954Q02	1	Full credit	31716	6.53
PM954Q02	7	N/A	377114	77.68
PM954Q02	9	Missing	20652	4.25
PM954Q02	r	Not reached	1877	0.39
PM954Q04	0	No credit	60799	12.52
PM954Q04	1	Full credit	27080	5.58
PM954Q04	7	N/A	377115	77.68
PM954Q04	9	Missing	18379	3.79
PM954Q04	r	Not reached	2117	0.44
PM955Q01	0	No credit	43177	8.89
PM955Q01	1	Full credit	93675	19.29
PM955Q01	7	N/A	336578	69.33
PM955Q01	9	Missing	7540	1.55
PM955Q01	r	Not reached	4520	0.93
PM955Q02	0	No credit	85308	17.57
PM955Q02	1	Full credit	42334	8.72
PM955Q02	7	N/A	336589	69.33
PM955Q02	9	Missing	16156	3.33
PM955Q02	r	Not reached	5103	1.05
PM955Q03	0	No credit	99192	20.43
PM955Q03	1	Partial credit	8407	1.73
PM955Q03	2	Full credit	10382	2.14
PM955Q03	7	N/A	336591	69.33
PM955Q03	9	Missing	25459	5.24
PM955Q03	r	Not reached	5459	1.12
PM957Q01	1	No credit	10753	2.21
PM957Q01	2	Full credit	21523	4.43
PM957Q01	3	No credit	4176	0.86
PM957Q01	4	No credit	3123	0.64
PM957Q01	7	N/A	442306	91.11
PM957Q01	8	Invalid	95	0.02
PM957Q01	9	Missing	1069	0.22
PM957Q01	r	Not reached	2445	0.5
PM957Q02	1	Full credit	14894	3.07
PM957Q02	2	No credit	10037	2.07
PM957Q02	3	No credit	7536	1.55
PM957Q02	4	No credit	6414	1.32
PM957Q02	7	N/A	442324	91.11
PM957Q02	8	Invalid	75	0.02
PM957Q02	9	Missing	1614	0.33
PM957Q02	r	Not reached	2596	0.53
PM957Q03	0	No credit	31422	6.47
PM957Q03	1	Full credit	2913	0.6
PM957Q03	7	N/A	442323	91.11
PM957Q03	9	Missing	6079	1.25
PM957Q03	r	Not reached	2753	0.57
PM961Q02	0	No credit	31480	6.48
PM961Q02	1	Full credit	2302	0.47
PM961Q02	7	N/A	442297	91.1
PM961Q02	9	Missing	7161	1.48
PM961Q02	r	Not reached	2250	0.46
PM961Q03	1	No credit	9769	2.01
PM961Q03	2	No credit	5084	1.05
PM961Q03	3	No credit	3540	0.73
PM961Q03	4	Full credit	17349	3.57
PM961Q03	7	N/A	442311	91.11
PM961Q03	8	Invalid	105	0.02
PM961Q03	9	Missing	4857	1
PM961Q03	r	Not reached	2475	0.51
PM961Q05	0	No credit	11609	2.39
PM961Q05	1	Partial credit	9889	2.04
PM961Q05	2	Full credit	11066	2.28
PM961Q05	7	N/A	442301	91.1
PM961Q05	9	Missing	7900	1.63
PM961Q05	r	Not reached	2725	0.56
PM967Q01	0	No credit	24150	4.97
PM967Q01	1	Full credit	11302	2.33
PM967Q01	7	N/A	442300	91.1
PM967Q01	9	Missing	4527	0.93
PM967Q01	r	Not reached	3211	0.66
PM967Q03T	0	No credit	7383	1.52
PM967Q03T	1	No credit	27218	5.61
PM967Q03T	2	Full credit	3243	0.67
PM967Q03T	7	N/A	442300	91.1
PM967Q03T	8	Invalid	24	0
PM967Q03T	9	Missing	1508	0.31
PM967Q03T	r	Not reached	3814	0.79
PM982Q01	0	No credit	20023	4.12
PM982Q01	1	Full credit	121363	25
PM982Q01	7	N/A	338744	69.77
PM982Q01	9	Missing	3700	0.76
PM982Q01	r	Not reached	1660	0.34
PM982Q02	0	No credit	98612	20.31
PM982Q02	1	Full credit	40918	8.43
PM982Q02	7	N/A	338756	69.78
PM982Q02	9	Missing	5223	1.08
PM982Q02	r	Not reached	1981	0.41
PM982Q03T	0	No credit	4415	0.91
PM982Q03T	1	No credit	49446	10.18
PM982Q03T	2	Full credit	88490	18.23
PM982Q03T	7	N/A	338750	69.77
PM982Q03T	8	Invalid	41	0.01
PM982Q03T	9	Missing	2228	0.46
PM982Q03T	r	Not reached	2120	0.44
PM982Q04	1	No credit	9427	1.94
PM982Q04	2	No credit	61326	12.63
PM982Q04	3	No credit	6112	1.26
PM982Q04	4	Full credit	63374	13.05
PM982Q04	7	N/A	339083	69.84
PM982Q04	8	Invalid	249	0.05
PM982Q04	9	Missing	3690	0.76
PM982Q04	r	Not reached	2229	0.46
PM985Q01	1	No credit	1992	0.41
PM985Q01	2	Full credit	33550	6.91
PM985Q01	3	No credit	1898	0.39
PM985Q01	4	No credit	3744	0.77
PM985Q01	7	N/A	442317	91.11
PM985Q01	8	Invalid	230	0.05
PM985Q01	9	Missing	705	0.15
PM985Q01	r	Not reached	1054	0.22
PM985Q02	1	No credit	20378	4.2
PM985Q02	2	No credit	1885	0.39
PM985Q02	3	No credit	2282	0.47
PM985Q02	4	Full credit	16749	3.45
PM985Q02	7	N/A	442317	91.11
PM985Q02	8	Invalid	69	0.01
PM985Q02	9	Missing	611	0.13
PM985Q02	r	Not reached	1199	0.25
PM985Q03	0	No credit	20538	4.23
PM985Q03	1	Full credit	9933	2.05
PM985Q03	7	N/A	448151	92.31
PM985Q03	9	Missing	5863	1.21
PM985Q03	r	Not reached	1005	0.21
PM991Q01	1	No credit	1186	0.24
PM991Q01	2	No credit	3920	0.81
PM991Q01	3	Full credit	25535	5.26
PM991Q01	4	No credit	9508	1.96
PM991Q01	7	N/A	442302	91.1
PM991Q01	8	Invalid	87	0.02
PM991Q01	9	Missing	1550	0.32
PM991Q01	r	Not reached	1402	0.29
PM991Q02D	7	N/A	442358	91.12
PM991Q02D	9	Missing	11513	2.37
PM991Q02D	A	No credit	27924	5.75
PM991Q02D	G	Partial credit	823	0.17
PM991Q02D	H	Partial credit	199	0.04
PM991Q02D	O	Full credit	1187	0.24
PM991Q02D	r	Not reached	1486	0.31
PM992Q01	0	No credit	33078	6.81
PM992Q01	1	Full credit	106209	21.88
PM992Q01	7	N/A	337628	69.54
PM992Q01	9	Missing	6175	1.27
PM992Q01	r	Not reached	2400	0.49
PM992Q02	0	No credit	106529	21.94
PM992Q02	1	Full credit	25179	5.19
PM992Q02	7	N/A	337638	69.55
PM992Q02	9	Missing	13294	2.74
PM992Q02	r	Not reached	2850	0.59
PM992Q03	0	No credit	78910	16.25
PM992Q03	1	Full credit	11119	2.29
PM992Q03	7	N/A	337643	69.55
PM992Q03	9	Missing	54701	11.27
PM992Q03	r	Not reached	3117	0.64
PM995Q01	0	No credit	36040	7.42
PM995Q01	1	Full credit	59426	12.24
